Number_of_Travelers,Budget,Area_of_Interest,Warm,Transportation_Mode,Recommendation
14,28000,City,Cool,Public Transport,"Nuwara Eliya City, Nuwara Eliya"
10,75000,Beach,Warm,Bikes,"Polhena Beach, Matara"
8,10500,Historical Site,Cool,Van,"Seetha Amman Temple, Nuwara Eliya"
1,5000,Forest,Tropical,Public Transport,"Badulla Forest, Badulla"
7,18000,National Park,Warm,Rosa Bus,"Hikkaduwa National Park, Hikkaduwa"
7,30000,City,Moderate,Van,"Kandy City, Kandy"
21,48000,Desert,Hot,Bikes,"Delft Island, Jaffna"
3,35000,Forest,Tropical,Car,"Dunhinda Falls, Badulla"
12,44000,Historical Site,Moderate,Rosa Bus,"Kuttam Pokuna, Anuradhapura"
13,110000,Lakeside,Moderate,Rosa Bus,"Madu River, Balapitiya"
10,55000,City,Moderate,Public Transport,"Galle City, Galle"
14,190000,City,Moderate,Public Transport,"Badulla City, Badulla"
19,65000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
1,19000,Forest,Tropical,Rosa Bus,"Kottawa Arboretum, Galle"
25,60000,Lakeside,Moderate,Public Transport,"Parakrama Samudra, Polonnaruwa"
24,110000,Forest,Tropical,Bikes,"Sinharaja Forest Reserve, Deniyaya"
25,85000,City,Moderate,Rosa Bus,"Colombo City, Colombo"
15,50000,National Park,Warm,Rosa Bus,"Wasgamuwa National Park, Wasgamuwa"
22,70000,Lakeside,Moderate,Public Transport,"Koggala Lake, Koggala"
3,38000,City,Moderate,Public Transport,"Negombo City, Negombo"
10,68000,Mountains,Cool,Bikes,"Nine Arches Bridge, Ella"
20,44000,Forest,Tropical,Public Transport,"Sinharaja Forest Reserve, Deniyaya"
1,1200,Mountains,Cool,Car,"Diyatalawa, Badulla"
14,44000,Historical Site,Moderate,Rosa Bus,"Anuradhapura, Anuradhapura"
21,120000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
9,33000,Lakeside,Moderate,Bikes,"Victoria Reservoir, Kandy"
25,190000,Lakeside,Moderate,Public Transport,"Bolgoda Lake, Colombo"
2,68000,Forest,Tropical,Public Transport,"Bopath Ella, Kuruwita"
1,19000,Beach,Warm,Bikes,"Hikkaduwa Beach, Hikkaduwa"
2,90000,Historical Site,Moderate,Car,"Aluvihare Rock Temple, Matale"
8,19000,Historical Site,Moderate,Rosa Bus,"Aluvihare Rock Temple, Matale"
18,75000,Lakeside,Moderate,Public Transport,"Parakrama Samudra, Polonnaruwa"
24,45000,City,Moderate,Rosa Bus,"Kandy City, Kandy"
6,58000,Historical Site,Moderate,Rosa Bus,"Galle Fort, Galle"
23,180000,Beach,Warm,Rosa Bus,"Polhena Beach, Matara"
18,130000,City,Moderate,Public Transport,"Galle City, Galle"
8,18000,Beach,Warm,Van,"Dickwella Beach, Dickwella"
3,5000,Historical Site,Moderate,Van,"Thuparamaya, Anuradhapura"
8,22000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
7,20000,City,Cool,Van,"Nuwara Eliya City, Nuwara Eliya"
16,45000,Beach,Warm,Rosa Bus,"Mount Lavinia Beach, Mount Lavinia"
5,9000,Desert,Hot,Bikes,"Delft Island, Jaffna"
5,18000,Mountains,Cool,Bikes,"Little Adam's Peak, Ella"
5,150000,Lakeside,Moderate,Van,"Koggala Lake, Koggala"
22,70000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
7,140000,National Park,Warm,Rosa Bus,"Yala National Park, Yala"
7,75000,Mountains,Cool,Rosa Bus,"Ravana Falls, Ella"
13,68000,Beach,Warm,Bikes,"Rekawa Beach, Hambantota"
2,110000,Lakeside,Moderate,Public Transport,"Madu River, Balapitiya"
17,80000,Forest,Tropical,Bikes,"Meemure, Kandy"
8,8000,Desert,Hot,Van,"Delft Island, Jaffna"
10,30000,Historical Site,Moderate,Van,"Polonnaruwa, Polonnaruwa"
20,90000,Historical Site,Moderate,Rosa Bus,"Jetavanaramaya, Anuradhapura"
9,22000,National Park,Warm,Bikes,"Kaudulla National Park, Polonnaruwa"
8,50000,Forest,Tropical,Public Transport,"Sinharaja Forest Reserve, Deniyaya"
18,70000,Mountains,Cool,Bikes,"Horton Plains National Park, Nuwara Eliya"
16,28000,Beach,Warm,Bikes,"Mount Lavinia Beach, Mount Lavinia"
8,110000,City,Moderate,Rosa Bus,"Matara City, Matara"
16,35000,Forest,Tropical,Rosa Bus,"Dunhinda Falls, Badulla"
1,75000,Historical Site,Moderate,Rosa Bus,"Thuparamaya, Anuradhapura"
4,44000,Forest,Tropical,Rosa Bus,"Badulla Forest, Badulla"
8,14000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
24,100000,Forest,Tropical,Rosa Bus,"Dunhinda Falls, Badulla"
11,19000,Mountains,Cool,Public Transport,"Demodara Loop, Ella"
12,12000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
2,58000,Mountains,Warm,Public Transport,"Ritigala, Ritigala"
23,70000,Lakeside,Moderate,Public Transport,"Parakrama Samudra, Polonnaruwa"
19,33000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
5,70000,Beach,Warm,Car,"Hikkaduwa Beach, Hikkaduwa"
4,11000,Mountains,Cool,Van,"Knuckles Mountain Range, Matale"
11,48000,City,Hot,Bikes,"Jaffna City, Jaffna"
14,50000,National Park,Warm,Rosa Bus,"Hikkaduwa National Park, Hikkaduwa"
11,65000,City,Moderate,Bikes,"Kurunegala City, Kurunegala"
7,160000,City,Moderate,Van,"Badulla City, Badulla"
23,33000,Mountains,Cool,Public Transport,"Ella Rock, Ella"
25,40000,Historical Site,Moderate,Public Transport,"Anuradhapura, Anuradhapura"
10,130000,Beach,Warm,Van,"Tangalle Beach, Tangalle"
15,48000,National Park,Cool,Public Transport,"Galway�s Land National Park, Nuwara Eliya"
10,70000,Lakeside,Moderate,Public Transport,"Koggala Lake, Koggala"
7,140000,Lakeside,Moderate,Van,"Kala Wewa, Anuradhapura"
16,24000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
11,65000,Mountains,Cool,Rosa Bus,"Ravana Falls, Ella"
16,150000,Beach,Warm,Bikes,"Jungle Beach, Unawatuna"
16,120000,Desert,Hot,Bikes,"Delft Island, Jaffna"
16,100000,City,Moderate,Public Transport,"Negombo City, Negombo"
2,3000,National Park,Warm,Car,"Wasgamuwa National Park, Wasgamuwa"
6,190000,Forest,Tropical,Bikes,"Kottawa Arboretum, Galle"
4,120000,Historical Site,Moderate,Bikes,"Jetavanaramaya, Anuradhapura"
24,130000,Mountains,Cool,Bikes,"Lipton�s Seat, Haputale"
17,130000,National Park,Warm,Rosa Bus,"Yala National Park, Yala"
20,65000,Desert,Hot,Bikes,"Delft Island, Jaffna"
13,19000,Forest,Tropical,Public Transport,"Kottawa Arboretum, Galle"
24,100000,Historical Site,Moderate,Public Transport,"Galle Fort, Galle"
11,44000,Historical Site,Moderate,Public Transport,"Sigiriya Rock Fortress, Sigiriya"
12,22000,Beach,Warm,Public Transport,"Arugam Bay, Ampara"
7,16000,Forest,Tropical,Rosa Bus,"Meemure, Kandy"
20,33000,Lakeside,Moderate,Bikes,"Madu River, Balapitiya"
24,45000,National Park,Warm,Rosa Bus,"Wilpattu National Park, Wilpattu"
4,200000,Forest,Tropical,Public Transport,"Hiyare Reservoir, Galle"
6,22000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
8,110000,National Park,Warm,Bikes,"Kaudulla National Park, Polonnaruwa"
18,50000,Beach,Warm,Public Transport,"Rekawa Beach, Hambantota"
15,60000,Forest,Tropical,Rosa Bus,"Hiyare Reservoir, Galle"
20,38000,Mountains,Cool,Bikes,"Devon Falls, Nuwara Eliya"
20,170000,Forest,Tropical,Public Transport,"Meemure, Kandy"
11,100000,Lakeside,Moderate,Van,"Kala Wewa, Anuradhapura"
15,120000,Lakeside,Moderate,Bikes,"Kandy Lake, Kandy"
3,190000,Lakeside,Moderate,Car,"Sorabora Wewa, Mahiyanganaya"
16,25000,Mountains,Cool,Rosa Bus,"Diyatalawa, Badulla"
4,13000,Mountains,Cool,Bikes,"Devon Falls, Nuwara Eliya"
23,160000,Mountains,Cool,Bikes,"Hunas Falls, Kandy"
11,60000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
6,110000,City,Moderate,Rosa Bus,"Matara City, Matara"
12,150000,Beach,Warm,Rosa Bus,"Arugam Bay, Ampara"
12,70000,Desert,Hot,Bikes,"Delft Island, Jaffna"
9,15000,Historical Site,Moderate,Rosa Bus,"Jetavanaramaya, Anuradhapura"
1,38000,Lakeside,Moderate,Bikes,"Madu River, Balapitiya"
14,190000,Lakeside,Moderate,Bikes,"Koggala Lake, Koggala"
17,35000,Beach,Warm,Rosa Bus,"Negombo Beach, Negombo"
15,28000,City,Moderate,Public Transport,"Badulla City, Badulla"
5,180000,Forest,Tropical,Car,"Sinharaja Forest Reserve, Deniyaya"
22,140000,Forest,Tropical,Bikes,"Sinharaja Forest Reserve, Deniyaya"
3,100000,National Park,Warm,Car,"Wasgamuwa National Park, Wasgamuwa"
11,45000,Mountains,Warm,Rosa Bus,"Ritigala, Ritigala"
8,22000,National Park,Warm,Rosa Bus,"Wilpattu National Park, Wilpattu"
3,70000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
19,200000,National Park,Warm,Public Transport,"Wasgamuwa National Park, Wasgamuwa"
23,48000,National Park,Warm,Bikes,"Udawalawe National Park, Udawalawe"
10,16000,Beach,Warm,Rosa Bus,"Hiriketiya Beach, Dickwella"
11,17000,Forest,Tropical,Rosa Bus,"Meemure, Kandy"
14,17000,Desert,Hot,Bikes,"Delft Island, Jaffna"
1,28000,Historical Site,Moderate,Car,"Anuradhapura, Anuradhapura"
18,40000,Beach,Warm,Public Transport,"Jungle Beach, Unawatuna"
3,14000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
17,44000,Forest,Tropical,Public Transport,"Makandawa Forest Reserve, Kitulgala"
15,19000,Mountains,Cool,Bikes,"Diyatalawa, Badulla"
9,190000,National Park,Warm,Bikes,"Wasgamuwa National Park, Wasgamuwa"
10,20000,City,Moderate,Bikes,"Matara City, Matara"
14,25000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
23,40000,Forest,Tropical,Bikes,"Bopath Ella, Kuruwita"
6,8000,Forest,Tropical,Public Transport,"Bopath Ella, Kuruwita"
2,68000,Beach,Warm,Car,"Negombo Beach, Negombo"
20,150000,City,Moderate,Rosa Bus,"Kurunegala City, Kurunegala"
22,33000,Forest,Tropical,Bikes,"Bopath Ella, Kuruwita"
9,17000,National Park,Warm,Rosa Bus,"Wilpattu National Park, Wilpattu"
10,20000,City,Moderate,Bikes,"Colombo City, Colombo"
25,33000,Forest,Tropical,Rosa Bus,"Badulla Forest, Badulla"
4,65000,Beach,Warm,Van,"Mount Lavinia Beach, Mount Lavinia"
18,85000,National Park,Warm,Bikes,"Kaudulla National Park, Polonnaruwa"
12,85000,Lakeside,Moderate,Rosa Bus,"Madu River, Balapitiya"
2,3000,Desert,Hot,Bikes,"Delft Island, Jaffna"
17,80000,City,Moderate,Rosa Bus,"Kurunegala City, Kurunegala"
18,140000,Desert,Hot,Bikes,"Delft Island, Jaffna"
10,180000,City,Moderate,Public Transport,"Galle City, Galle"
9,11000,Historical Site,Moderate,Bikes,"Manavari Temple, Chilaw"
10,17000,Historical Site,Moderate,Van,"Thuparamaya, Anuradhapura"
2,190000,Beach,Warm,Public Transport,"Negombo Beach, Negombo"
22,200000,Forest,Tropical,Public Transport,"Bopath Ella, Kuruwita"
12,55000,Lakeside,Moderate,Bikes,"Parakrama Samudra, Polonnaruwa"
1,38000,Beach,Warm,Rosa Bus,"Marble Beach, Trincomalee"
20,160000,Beach,Warm,Rosa Bus,"Negombo Beach, Negombo"
7,170000,Mountains,Cool,Public Transport,"Nine Arches Bridge, Ella"
6,65000,City,Moderate,Van,"Ratnapura City, Ratnapura"
10,24000,Forest,Tropical,Rosa Bus,"Makandawa Forest Reserve, Kitulgala"
24,85000,Beach,Warm,Public Transport,"Mount Lavinia Beach, Mount Lavinia"
14,24000,Lakeside,Moderate,Bikes,"Bolgoda Lake, Colombo"
17,40000,Beach,Warm,Rosa Bus,"Unawatuna Beach, Galle"
23,80000,Mountains,Cool,Rosa Bus,"Diyatalawa, Badulla"
17,170000,Forest,Tropical,Bikes,"Kanneliya Forest Reserve, Galle"
1,55000,Forest,Tropical,Rosa Bus,"Makandawa Forest Reserve, Kitulgala"
12,48000,Lakeside,Moderate,Public Transport,"Kandy Lake, Kandy"
7,15000,Lakeside,Moderate,Bikes,"Sorabora Wewa, Mahiyanganaya"
2,80000,Beach,Warm,Car,"Dickwella Beach, Dickwella"
25,35000,National Park,Cool,Rosa Bus,"Galway�s Land National Park, Nuwara Eliya"
1,65000,National Park,Warm,Van,"Hikkaduwa National Park, Hikkaduwa"
9,13000,Historical Site,Moderate,Bikes,"Polonnaruwa, Polonnaruwa"
22,35000,Desert,Hot,Bikes,"Delft Island, Jaffna"
2,20000,City,Hot,Van,"Jaffna City, Jaffna"
8,44000,Beach,Warm,Bikes,"Jungle Beach, Unawatuna"
12,70000,Mountains,Cool,Van,"Ravana Falls, Ella"
24,58000,Historical Site,Moderate,Rosa Bus,"Polonnaruwa, Polonnaruwa"
16,60000,Mountains,Warm,Bikes,"Pidurangala, Sigiriya"
22,70000,Lakeside,Moderate,Public Transport,"Bolgoda Lake, Colombo"
4,48000,National Park,Warm,Public Transport,"Wasgamuwa National Park, Wasgamuwa"
7,130000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
4,8000,City,Moderate,Rosa Bus,"Kandy City, Kandy"
17,50000,Lakeside,Moderate,Bikes,"Parakrama Samudra, Polonnaruwa"
8,20000,Mountains,Cool,Van,"Horton Plains National Park, Nuwara Eliya"
4,140000,Beach,Warm,Car,"Mount Lavinia Beach, Mount Lavinia"
21,45000,Mountains,Warm,Bikes,"Ritigala, Ritigala"
3,55000,Lakeside,Moderate,Car,"Bolgoda Lake, Colombo"
21,60000,Historical Site,Moderate,Bikes,"Sigiriya Rock Fortress, Sigiriya"
5,140000,Desert,Hot,Bikes,"Delft Island, Jaffna"
12,16000,City,Moderate,Bikes,"Kurunegala City, Kurunegala"
19,100000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
17,100000,City,Cool,Public Transport,"Nuwara Eliya City, Nuwara Eliya"
8,45000,Historical Site,Moderate,Van,"Sigiriya Rock Fortress, Sigiriya"
8,55000,Historical Site,Moderate,Van,"Jetavanaramaya, Anuradhapura"
14,38000,City,Moderate,Rosa Bus,"Colombo City, Colombo"
12,16000,Mountains,Cool,Van,"Ravana Falls, Ella"
5,25000,Lakeside,Moderate,Bikes,"Kala Wewa, Anuradhapura"
1,3300,National Park,Warm,Rosa Bus,"Udawalawe National Park, Udawalawe"
21,68000,Forest,Tropical,Bikes,"Hiyare Reservoir, Galle"
10,11000,Lakeside,Moderate,Van,"Handapanagala Lake, Wellawaya"
3,140000,National Park,Warm,Bikes,"Wilpattu National Park, Wilpattu"
20,50000,Historical Site,Moderate,Public Transport,"Dambulla Cave Temple, Dambulla"
7,70000,Mountains,Warm,Public Transport,"Ritigala, Ritigala"
18,45000,Mountains,Cool,Rosa Bus,"Nine Arches Bridge, Ella"
3,130000,Mountains,Cool,Van,"Knuckles Mountain Range, Kandy"
21,60000,Beach,Warm,Rosa Bus,"Rekawa Beach, Hambantota"
20,28000,Lakeside,Moderate,Rosa Bus,"Handapanagala Lake, Wellawaya"
2,16000,Historical Site,Moderate,Public Transport,"Mihintale, Mihintale"
2,18000,Mountains,Cool,Public Transport,"Thotupola Kanda, Nuwara Eliya"
6,18000,Historical Site,Cool,Public Transport,"Seetha Amman Temple, Nuwara Eliya"
8,10500,Lakeside,Moderate,Van,"Madu River, Balapitiya"
11,24000,Forest,Tropical,Van,"Meemure, Kandy"
9,85000,City,Moderate,Van,"Galle City, Galle"
10,190000,National Park,Warm,Rosa Bus,"Udawalawe National Park, Udawalawe"
19,100000,Lakeside,Moderate,Rosa Bus,"Parakrama Samudra, Polonnaruwa"
17,60000,Mountains,Cool,Public Transport,"Baker's Falls, Horton Plains"
13,19000,City,Warm,Rosa Bus,"Trincomalee City, Trincomalee"
22,60000,Desert,Hot,Bikes,"Delft Island, Jaffna"
14,28000,Desert,Hot,Bikes,"Delft Island, Jaffna"
2,65000,Historical Site,Moderate,Car,"Kuttam Pokuna, Anuradhapura"
10,16000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
18,28000,City,Moderate,Public Transport,"Ratnapura City, Ratnapura"
24,60000,City,Moderate,Bikes,"Galle City, Galle"
11,85000,City,Hot,Rosa Bus,"Jaffna City, Jaffna"
7,22000,Lakeside,Moderate,Public Transport,"Parakrama Samudra, Polonnaruwa"
6,80000,Mountains,Cool,Rosa Bus,"Lipton�s Seat, Haputale"
24,100000,Lakeside,Moderate,Rosa Bus,"Parakrama Samudra, Polonnaruwa"
4,24000,Beach,Warm,Bikes,"Hikkaduwa Beach, Hikkaduwa"
7,24000,Beach,Warm,Public Transport,"Arugam Bay, Ampara"
1,2100,Forest,Tropical,Van,"Kanneliya Forest Reserve, Galle"
2,2750,City,Moderate,Van,"Ratnapura City, Ratnapura"
13,35000,Beach,Warm,Rosa Bus,"Uppuveli Beach, Trincomalee"
9,30000,Beach,Warm,Van,"Nilaveli Beach, Trincomalee"
25,40000,Historical Site,Moderate,Rosa Bus,"Dambulla Cave Temple, Dambulla"
16,40000,Beach,Warm,Bikes,"Rekawa Beach, Hambantota"
17,58000,City,Moderate,Rosa Bus,"Kurunegala City, Kurunegala"
4,100000,Forest,Tropical,Public Transport,"Badulla Forest, Badulla"
17,55000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
4,24000,Forest,Tropical,Bikes,"Sinharaja Forest Reserve, Deniyaya"
21,55000,Historical Site,Moderate,Bikes,"Manavari Temple, Chilaw"
15,16000,Desert,Hot,Bikes,"Delft Island, Jaffna"
15,75000,Beach,Warm,Public Transport,"Mirissa Beach, Mirissa"
2,2900,Forest,Tropical,Bikes,"Kottawa Arboretum, Galle"
1,3100,Historical Site,Moderate,Car,"Polonnaruwa, Polonnaruwa"
6,55000,Historical Site,Moderate,Van,"Aluvihare Rock Temple, Matale"
16,24000,National Park,Warm,Bikes,"Wasgamuwa National Park, Wasgamuwa"
5,90000,Mountains,Cool,Rosa Bus,"Knuckles Mountain Range, Kandy"
3,30000,Mountains,Cool,Rosa Bus,"Horton Plains National Park, Nuwara Eliya"
2,3000,Lakeside,Moderate,Bikes,"Koggala Lake, Koggala"
1,2200,National Park,Cool,Bikes,"Galway�s Land National Park, Nuwara Eliya"
13,50000,Forest,Tropical,Bikes,"Hiyare Reservoir, Galle"
25,190000,City,Moderate,Public Transport,"Badulla City, Badulla"
22,160000,National Park,Warm,Public Transport,"Wilpattu National Park, Wilpattu"
4,90000,Forest,Tropical,Public Transport,"Bopath Ella, Kuruwita"
4,190000,Historical Site,Moderate,Public Transport,"Manavari Temple, Chilaw"
15,60000,Mountains,Cool,Rosa Bus,"Diyatalawa, Badulla"
1,13000,Beach,Warm,Public Transport,"Tangalle Beach, Tangalle"
4,11000,Historical Site,Moderate,Rosa Bus,"Galle Fort, Galle"
5,19000,Historical Site,Moderate,Bikes,"Mihintale, Mihintale"
2,2900,City,Moderate,Bikes,"Ratnapura City, Ratnapura"
11,24000,Forest,Tropical,Public Transport,"Sinharaja Forest Reserve, Deniyaya"
25,55000,Historical Site,Moderate,Public Transport,"Manavari Temple, Chilaw"
21,70000,Mountains,Cool,Public Transport,"Ella Rock, Ella"
5,160000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
12,68000,Mountains,Cool,Van,"Thotupola Kanda, Nuwara Eliya"
6,120000,Desert,Hot,Bikes,"Delft Island, Jaffna"
16,30000,Lakeside,Moderate,Rosa Bus,"Handapanagala Lake, Wellawaya"
1,200000,National Park,Warm,Van,"Gal Oya National Park, Ampara"
20,24000,Historical Site,Moderate,Public Transport,"Aluvihare Rock Temple, Matale"
21,60000,National Park,Warm,Bikes,"Udawalawe National Park, Udawalawe"
4,190000,City,Moderate,Rosa Bus,"Badulla City, Badulla"
6,28000,Beach,Warm,Bikes,"Jungle Beach, Unawatuna"
21,130000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
1,2750,Desert,Hot,Van,"Delft Island, Jaffna"
12,38000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
2,180000,City,Moderate,Van,"Kandy City, Kandy"
16,33000,City,Moderate,Bikes,"Kandy City, Kandy"
14,85000,Lakeside,Moderate,Rosa Bus,"Handapanagala Lake, Wellawaya"
24,70000,Forest,Tropical,Bikes,"Meemure, Kandy"
17,50000,National Park,Warm,Public Transport,"Wasgamuwa National Park, Wasgamuwa"
5,28000,Desert,Hot,Van,"Delft Island, Jaffna"
9,18000,City,Moderate,Van,"Galle City, Galle"
2,20000,National Park,Warm,Bikes,"Yala National Park, Yala"
10,20000,Historical Site,Moderate,Van,"Dambulla Cave Temple, Dambulla"
11,33000,Desert,Hot,Van,"Delft Island, Jaffna"
15,100000,Lakeside,Moderate,Rosa Bus,"Madu River, Balapitiya"
23,38000,Historical Site,Cool,Public Transport,"Seetha Amman Temple, Nuwara Eliya"
4,22000,Historical Site,Moderate,Public Transport,"Manavari Temple, Chilaw"
23,38000,National Park,Warm,Bikes,"Kaudulla National Park, Polonnaruwa"
21,180000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
1,3200,National Park,Warm,Car,"Hikkaduwa National Park, Hikkaduwa"
24,90000,Forest,Tropical,Public Transport,"Meemure, Kandy"
13,38000,Mountains,Cool,Bikes,"Hunas Falls, Kandy"
25,110000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
17,100000,Mountains,Cool,Bikes,"Baker's Falls, Horton Plains"
10,13000,Forest,Tropical,Van,"Badulla Forest, Badulla"
10,28000,Mountains,Cool,Rosa Bus,"Demodara Loop, Ella"
2,4000,City,Moderate,Van,"Colombo City, Colombo"
25,85000,Mountains,Cool,Rosa Bus,"Diyatalawa, Badulla"
23,85000,Forest,Tropical,Rosa Bus,"Makandawa Forest Reserve, Kitulgala"
2,58000,Historical Site,Moderate,Public Transport,"Polonnaruwa, Polonnaruwa"
17,120000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
20,35000,Beach,Warm,Bikes,"Bentota Beach, Bentota"
6,120000,Historical Site,Moderate,Bikes,"Sigiriya Rock Fortress, Sigiriya"
2,58000,Mountains,Cool,Public Transport,"Lipton�s Seat, Haputale"
4,70000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
3,16000,National Park,Warm,Bikes,"Gal Oya National Park, Ampara"
1,1950,Forest,Tropical,Van,"Badulla Forest, Badulla"
18,22000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
12,70000,Lakeside,Moderate,Van,"Parakrama Samudra, Polonnaruwa"
16,200000,Historical Site,Moderate,Rosa Bus,"Aluvihare Rock Temple, Matale"
3,50000,Beach,Warm,Bikes,"Hiriketiya Beach, Dickwella"
9,80000,City,Hot,Public Transport,"Jaffna City, Jaffna"
17,70000,Forest,Tropical,Public Transport,"Kanneliya Forest Reserve, Galle"
11,180000,Forest,Tropical,Bikes,"Dunhinda Falls, Badulla"
18,65000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
11,130000,National Park,Warm,Bikes,"Hikkaduwa National Park, Hikkaduwa"
16,68000,City,Cool,Rosa Bus,"Nuwara Eliya City, Nuwara Eliya"
21,60000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
4,17000,Mountains,Cool,Rosa Bus,"Ravana Falls, Ella"
9,15000,Forest,Tropical,Bikes,"Badulla Forest, Badulla"
4,9000,Historical Site,Moderate,Van,"Aluvihare Rock Temple, Matale"
18,33000,Forest,Tropical,Public Transport,"Kottawa Arboretum, Galle"
20,130000,Lakeside,Moderate,Bikes,"Kandy Lake, Kandy"
25,75000,Beach,Warm,Public Transport,"Dickwella Beach, Dickwella"
8,38000,Lakeside,Moderate,Van,"Koggala Lake, Koggala"
10,50000,National Park,Warm,Rosa Bus,"Hikkaduwa National Park, Hikkaduwa"
13,22000,Beach,Warm,Public Transport,"Unawatuna Beach, Galle"
5,12000,Forest,Tropical,Van,"Dunhinda Falls, Badulla"
1,160000,City,Moderate,Van,"Galle City, Galle"
1,19000,Desert,Hot,Van,"Delft Island, Jaffna"
25,120000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
22,45000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
24,200000,Forest,Tropical,Public Transport,"Bopath Ella, Kuruwita"
8,58000,Forest,Tropical,Rosa Bus,"Badulla Forest, Badulla"
7,44000,Lakeside,Moderate,Bikes,"Parakrama Samudra, Polonnaruwa"
20,85000,Forest,Tropical,Rosa Bus,"Badulla Forest, Badulla"
9,150000,Historical Site,Moderate,Van,"Sigiriya Rock Fortress, Sigiriya"
1,55000,Forest,Tropical,Van,"Hiyare Reservoir, Galle"
22,100000,Historical Site,Moderate,Bikes,"Aluvihare Rock Temple, Matale"
2,130000,City,Warm,Van,"Trincomalee City, Trincomalee"
2,10500,National Park,Warm,Rosa Bus,"Kaudulla National Park, Polonnaruwa"
