Area of Interest,Origin,Destination,Preferred Climate,Number of Travelers,Budget (in LKR),Preferred Accommodation,Trip Duration (days),District
Lakeside,Anuradhapura,"Girithale Wewa, Polonnaruwa",Moderate,22,190000,cottage,8,Polonnaruwa
Wildlife,Kilinochchi,"Gal Oya National Park, Ampara",Warm,24,183000,villa,5,Ampara
Lakeside,Nuwara Eliya,"Sembuwatta Lake, Matale",Moderate,16,150000,villa,7,Matale
Historical,Badulla,"Yapahuwa Rock Fortress, Yapahuwa",Warm,8,78000,cottage,9,Kurunegala
Wildlife,Matale,"Yala National Park, Hambantota",Warm,14,129000,2-star hotel,9,Hambantota
Lakeside,Gampaha,"Randenigala Dam, Kandy",Moderate,23,31000,camping,3,Kandy
Cultural,Matara,"Jethawanaramaya, Anuradhapura",Warm,10,72000,villa,5,Anuradhapura
Lakeside,Hambantota,"Randenigala Dam, Kandy",Moderate,23,52000,camping,5,Kandy
Cultural,Colombo,"Sigiriya, Sigiriya",Warm,21,145000,other,9,Matale
Forest,Ampara,"Bopath Ella, Kuruwita",Tropical,17,160000,villa,9,Ratnapura
Lakeside,Kandy,"Tissa Wewa, Tissamaharama",Moderate,11,25000,guest houses,3,Hambantota
Historical,Gampaha,"Polonnaruwa Ruins, Polonnaruwa",Warm,4,50000,4-star hotel,7,Polonnaruwa
Lakeside,Trincomalee,"Bolgoda Lake, Colombo",Moderate,13,38000,camping,7,Colombo
Historical,Hambantota,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,14,93000,guest houses,8,Colombo
Mountains,Anuradhapura,"Thotupola Kanda, Nuwara Eliya",Cool,5,34000,2-star hotel,7,Nuwara Eliya
Historical,Badulla,"Galle Fort, Galle",Warm,1,6000,camping,5,Galle
Cultural,Ratnapura,"Jethawanaramaya, Anuradhapura",Warm,12,81000,2-star hotel,7,Anuradhapura
Lakeside,Ratnapura,"Randenigala Dam, Kandy",Moderate,16,86000,other,8,Kandy
Mountains,Jaffna,"Baker's Falls, Horton Plains",Cool,11,32000,other,4,Nuwara Eliya
Lakeside,Kalutara,"Sembuwatta Lake, Matale",Moderate,23,92000,villa,3,Matale
Cultural,Kalutara,"Dambulla Cave Temple, Dambulla",Warm,14,38000,3-star hotel,2,Matale
Historical,Gampaha,"Galle Fort, Galle",Warm,3,38000,cottage,9,Galle
Lakeside,Puttalam,"Victoria Reservoir, Kandy",Moderate,3,8000,camping,1,Kandy
Historical,Vavuniya,"Mihintale, Anuradhapura",Warm,12,35000,guest houses,3,Anuradhapura
Beach,Kandy,"Jungle Beach, Unawatuna",Warm,17,9000,camping,1,Galle
Cultural,Galle,"Polonnaruwa Ruins, Polonnaruwa",Warm,8,18000,5-star hotel,1,Polonnaruwa
Beach,Mullaitivu,"Jungle Beach, Unawatuna",Warm,14,143000,4-star hotel,5,Galle
Beach,Trincomalee,"Rekawa Beach, Hambantota",Warm,23,107000,cottage,4,Hambantota
Forest,Kandy,"Kottawa Arboretum, Galle",Tropical,13,37000,4-star hotel,2,Galle
Mountains,Kandy,"Pidurangala, Sigiriya",Warm,20,317000,5-star hotel,9,Matale
Lakeside,Hambantota,"Koggala Lake, Koggala",Moderate,9,14000,camping,1,Galle
Cultural,Matara,"Lovamahapaya, Anuradhapura",Warm,15,173000,3-star hotel,8,Anuradhapura
Beach,Kurunegala,"Weligama Beach, Weligama",Warm,15,115000,4-star hotel,4,Matara
Forest,Kegalle,"Yagirala Forest Reserve, Kalutara",Tropical,6,42000,cottage,7,Kalutara
Cultural,Gampaha,"Isurumuniya, Anuradhapura",Warm,6,9000,camping,1,Anuradhapura
Cultural,Kandy,"Gangaramaya Temple, Colombo",Warm,9,30000,camping,8,Colombo
Forest,Mannar,"Namal Oya Forest, Ampara",Tropical,9,56000,5-star hotel,3,Ampara
Beach,Nuwara Eliya,"Tangalle Beach, Tangalle",Warm,20,86000,3-star hotel,3,Hambantota
Mountains,Monaragala,"Demodara Loop, Ella",Cool,6,37000,4-star hotel,4,Badulla
Beach,Matara,"Uppuveli Beach, Trincomalee",Warm,7,25000,3-star hotel,1,Trincomalee
Cultural,Mullaitivu,"Munneswaram Temple, Chilaw",Warm,21,194000,4-star hotel,6,Puttalam
Wildlife,Ampara,"Wilpattu National Park, Anuradhapura",Warm,23,224000,villa,6,Anuradhapura
Beach,Galle,"Weligama Beach, Weligama",Warm,11,55000,other,7,Matara
Forest,Polonnaruwa,"Kithulgala Forest Reserve, Kegalle",Tropical,18,201000,villa,9,Kegalle
Beach,Anuradhapura,"Negombo Beach, Negombo",Warm,11,59000,3-star hotel,4,Gampaha
Forest,Ampara,"Dunhinda Falls, Badulla",Tropical,14,106000,cottage,7,Badulla
Cultural,Polonnaruwa,"Dambulla Cave Temple, Dambulla",Warm,16,57000,guest houses,4,Matale
Wildlife,Kegalle,"Gal Oya National Park, Ampara",Warm,1,11000,3-star hotel,7,Ampara
Lakeside,Puttalam,"Girithale Wewa, Polonnaruwa",Moderate,7,93000,4-star hotel,8,Polonnaruwa
Forest,Vavuniya,"Kithulgala Forest Reserve, Kegalle",Tropical,4,10000,guest houses,3,Kegalle
Forest,Kalutara,"Namal Oya Forest, Ampara",Tropical,17,42000,villa,2,Ampara
Wildlife,Kurunegala,"Wasgamuwa National Park, Matale",Warm,19,204000,3-star hotel,8,Matale
Forest,Puttalam,"Yagirala Forest Reserve, Kalutara",Tropical,19,19000,cottage,1,Kalutara
Wildlife,Ratnapura,"Pigeon Island National Park, Trincomalee",Warm,9,31000,2-star hotel,3,Trincomalee
Forest,Mannar,"Kottawa Arboretum, Galle",Tropical,20,70000,guest houses,5,Galle
Forest,Hambantota,"Namal Oya Forest, Ampara",Tropical,12,67000,other,9,Ampara
Mountains,Mannar,"Pidurangala, Sigiriya",Warm,15,84000,guest houses,8,Matale
Wildlife,Ratnapura,"Hurulu Eco Park, Polonnaruwa",Warm,6,26000,villa,3,Polonnaruwa
Wildlife,Kalutara,"Sinharaja Forest Reserve, Galle",Warm,6,108000,5-star hotel,8,Galle
Historical,Ampara,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,1,20000,guest houses,4,Colombo
Forest,Kilinochchi,"Bopath Ella, Kuruwita",Tropical,4,15000,other,7,Ratnapura
Beach,Gampaha,"Jungle Beach, Unawatuna",Warm,21,269000,5-star hotel,5,Galle
Lakeside,Puttalam,"Kantale Lake, Trincomalee",Moderate,12,15000,other,1,Trincomalee
Cultural,Matara,"Abhayagiri Dagaba, Anuradhapura",Warm,4,12000,3-star hotel,2,Anuradhapura
Lakeside,Badulla,"Handapanagala Lake, Wellawaya",Moderate,6,30000,villa,1,Monaragala
Wildlife,Badulla,"Horton Plains National Park, Nuwara Eliya",Cool,19,142000,cottage,6,Nuwara Eliya
Historical,Kalutara,"Dambulla Cave Temple, Dambulla",Warm,3,13000,guest houses,5,Matale
Beach,Kalutara,"Arugam Bay, Ampara",Warm,15,69000,2-star hotel,4,Ampara
Wildlife,Kalutara,"Yala National Park, Hambantota",Warm,19,156000,4-star hotel,4,Hambantota
Mountains,Galle,"Kalupahana, Badulla",Cool,19,38000,cottage,2,Badulla
Cultural,Kandy,"Galle Fort, Galle",Warm,4,17000,guest houses,4,Galle
Cultural,Kandy,"Dambulla Cave Temple, Dambulla",Warm,16,179000,5-star hotel,5,Matale
Historical,Vavuniya,"Sigiriya, Sigiriya",Warm,2,12000,2-star hotel,6,Matale
Forest,Kurunegala,"Meemure, Kandy",Tropical,10,87000,villa,7,Kandy
Mountains,Kandy,"Ravana Falls, Ella",Cool,5,10000,camping,5,Badulla
Lakeside,Kegalle,"Koggala Lake, Koggala",Moderate,1,10000,5-star hotel,5,Galle
Wildlife,Badulla,"Lunugamvehera National Park, Hambantota",Warm,10,10000,camping,2,Hambantota
Beach,Vavuniya,"Passekudah Beach, Passekudah",Warm,22,181000,other,9,Batticaloa
Cultural,Polonnaruwa,"Ambuluwawa Temple, Gampola",Moderate,18,36000,other,3,Kandy
Forest,Trincomalee,"Sinharaja Forest Reserve, Deniyaya",Tropical,3,34000,5-star hotel,5,Matara
Wildlife,Monaragala,"Gal Oya National Park, Ampara",Warm,1,10000,cottage,4,Ampara
Forest,Jaffna,"Kanneliya Forest Reserve, Galle",Tropical,17,39000,villa,2,Galle
Historical,Badulla,"Lovamahapaya, Anuradhapura",Warm,6,45000,5-star hotel,1,Anuradhapura
Historical,Vavuniya,"Munneswaram Temple, Chilaw",Warm,23,35000,guest houses,2,Puttalam
Cultural,Gampaha,"Sigiriya, Sigiriya",Warm,9,65000,2-star hotel,7,Matale
Mountains,Galle,"Knuckles Mountain Range, Kandy",Cool,12,104000,villa,7,Kandy
Beach,Kilinochchi,"Tangalle Beach, Tangalle",Warm,5,25000,cottage,3,Hambantota
Lakeside,Galle,"Kala Wewa, Anuradhapura",Moderate,22,296000,5-star hotel,7,Anuradhapura
Mountains,Nuwara Eliya,"Ella Rock, Ella",Cool,8,28000,3-star hotel,3,Badulla
Lakeside,Ampara,"Sembuwatta Lake, Matale",Moderate,21,71000,other,5,Matale
Mountains,Kilinochchi,"Thotupola Kanda, Nuwara Eliya",Cool,22,63000,villa,2,Nuwara Eliya
Lakeside,Polonnaruwa,"Randenigala Dam, Kandy",Moderate,1,25000,2-star hotel,7,Kandy
Lakeside,Galle,"Girithale Wewa, Polonnaruwa",Moderate,24,105000,other,7,Polonnaruwa
Mountains,Ampara,"Horton Plains National Park, Nuwara Eliya",Cool,16,92000,villa,4,Nuwara Eliya
Beach,Puttalam,"Unawatuna Beach, Galle",Warm,16,131000,guest houses,8,Galle
Historical,Galle,"Mihintale, Anuradhapura",Warm,22,63000,camping,6,Anuradhapura
Cultural,Jaffna,"Temple of the Tooth, Kandy",Moderate,13,35000,3-star hotel,2,Kandy
Cultural,Kurunegala,"Galle Fort, Galle",Warm,18,58000,villa,2,Galle
Beach,Puttalam,"Rekawa Beach, Hambantota",Warm,9,36000,3-star hotel,3,Hambantota
Forest,Galle,"Dunhinda Falls, Badulla",Tropical,8,30000,villa,3,Badulla
Lakeside,Badulla,"Koggala Lake, Koggala",Moderate,19,32000,guest houses,2,Galle
Mountains,Kalutara,"Hunas Falls, Kandy",Cool,15,122000,cottage,7,Kandy
Wildlife,Gampaha,"Lunugamvehera National Park, Hambantota",Warm,2,7000,camping,7,Hambantota
Historical,Puttalam,"Mihintale, Anuradhapura",Warm,7,101000,5-star hotel,6,Anuradhapura
Historical,Mannar,"Ambuluwawa Temple, Gampola",Moderate,7,47000,villa,5,Kandy
Mountains,Mannar,"Ella Rock, Ella",Cool,2,19000,camping,9,Badulla
Lakeside,Kandy,"Nuwara Wewa, Anuradhapura",Moderate,18,69000,2-star hotel,5,Anuradhapura
Lakeside,Hambantota,"Gal Oya, Ampara",Moderate,22,73000,camping,8,Ampara
Beach,Mannar,"Negombo Beach, Negombo",Warm,4,29000,guest houses,8,Gampaha
Beach,Nuwara Eliya,"Trincomalee Beach, Trincomalee",Warm,17,206000,3-star hotel,7,Trincomalee
Lakeside,Puttalam,"Kala Wewa, Anuradhapura",Moderate,2,25000,guest houses,3,Anuradhapura
Beach,Galle,"Rekawa Beach, Hambantota",Warm,15,17000,cottage,1,Hambantota
Lakeside,Anuradhapura,"Koggala Lake, Koggala",Moderate,2,9000,other,6,Galle
Forest,Gampaha,"Kanneliya Forest Reserve, Galle",Tropical,6,10000,other,3,Galle
Wildlife,Colombo,"Wilpattu National Park, Anuradhapura",Warm,9,29000,2-star hotel,3,Anuradhapura
Wildlife,Jaffna,"Gal Oya National Park, Ampara",Warm,16,149000,cottage,7,Ampara
Forest,Matale,"Makandawa Forest Reserve, Kitulgala",Tropical,6,175000,5-star hotel,3,Kegalle
Beach,Kalutara,"Trincomalee Beach, Trincomalee",Warm,16,323000,5-star hotel,7,Trincomalee
Wildlife,Matara,"Gal Oya National Park, Ampara",Warm,7,37000,cottage,4,Ampara
Beach,Kilinochchi,"Negombo Beach, Negombo",Warm,22,158000,4-star hotel,4,Gampaha
Wildlife,Nuwara Eliya,"Maduru Oya National Park, Polonnaruwa",Warm,1,7000,villa,5,Polonnaruwa
Cultural,Mullaitivu,"Jethawanaramaya, Anuradhapura",Warm,18,202000,cottage,9,Anuradhapura
Mountains,Ratnapura,"Knuckles Mountain Range, Matale",Cool,22,92000,guest houses,5,Matale
Cultural,Mannar,"Yapahuwa Rock Fortress, Yapahuwa",Warm,14,87000,5-star hotel,3,Kurunegala
Historical,Matale,"Abhayagiri Dagaba, Anuradhapura",Warm,19,109000,guest houses,6,Anuradhapura
Forest,Batticaloa,"Kithulgala Forest Reserve, Kegalle",Tropical,21,79000,other,6,Kegalle
Wildlife,Matara,"Wasgomuwa National Park, Matale",Warm,2,22000,5-star hotel,5,Matale
Lakeside,Badulla,"Kandy Lake, Kandy",Moderate,8,96000,5-star hotel,5,Kandy
Wildlife,Anuradhapura,"Minneriya National Park, Polonnaruwa",Warm,19,263000,3-star hotel,9,Polonnaruwa
Beach,Ampara,"Weligama Beach, Weligama",Warm,23,83000,other,5,Matara
Lakeside,Ratnapura,"Handapanagala Lake, Wellawaya",Moderate,1,29000,4-star hotel,2,Monaragala
Mountains,Kurunegala,"Kirigalpotta, Nuwara Eliya",Cool,14,40000,guest houses,3,Nuwara Eliya
Beach,Vavuniya,"Rekawa Beach, Hambantota",Warm,12,86000,4-star hotel,4,Hambantota
Historical,Ratnapura,"Ambuluwawa Temple, Gampola",Moderate,17,80000,other,7,Kandy
Cultural,Batticaloa,"Temple of the Tooth, Kandy",Moderate,24,258000,4-star hotel,6,Kandy
Lakeside,Gampaha,"Handapanagala Lake, Wellawaya",Moderate,5,14000,guest houses,4,Monaragala
Forest,Jaffna,"Badulla Forest, Badulla",Tropical,17,131000,4-star hotel,5,Badulla
Forest,Vavuniya,"Dunhinda Falls, Badulla",Tropical,11,14000,other,2,Badulla
Beach,Ampara,"Uppuveli Beach, Trincomalee",Warm,4,37000,guest houses,8,Trincomalee
Mountains,Matale,"Baker's Falls, Horton Plains",Cool,2,38000,5-star hotel,8,Nuwara Eliya
Forest,Hambantota,"Knuckles Forest Reserve, Kandy",Tropical,21,127000,other,9,Kandy
Beach,Matale,"Beruwala Beach, Beruwala",Warm,13,62000,guest houses,5,Kalutara
Forest,Nuwara Eliya,"Dunhinda Falls, Badulla",Tropical,2,5000,other,4,Badulla
Mountains,Monaragala,"Lipton’s Seat, Haputale",Cool,23,65000,4-star hotel,2,Badulla
Mountains,Kurunegala,"Demodara Loop, Ella",Cool,15,15000,cottage,1,Badulla
Wildlife,Mannar,"Udawalawe National Park, Ratnapura",Warm,1,15000,4-star hotel,8,Ratnapura
Beach,Vavuniya,"Negombo Beach, Negombo",Warm,3,28000,3-star hotel,7,Gampaha
Forest,Matale,"Makandawa Forest Reserve, Kitulgala",Tropical,10,31000,camping,8,Kegalle
Cultural,Nuwara Eliya,"Sigiriya, Sigiriya",Warm,1,20000,2-star hotel,3,Matale
Historical,Anuradhapura,"Polonnaruwa Ruins, Polonnaruwa",Warm,21,329000,5-star hotel,7,Polonnaruwa
Mountains,Hambantota,"Hunas Falls, Kandy",Cool,11,89000,3-star hotel,6,Kandy
Beach,Badulla,"Trincomalee Beach, Trincomalee",Warm,1,7000,other,8,Trincomalee
Forest,Monaragala,"Kithulgala Forest Reserve, Kegalle",Tropical,21,118000,other,9,Kegalle
Forest,Nuwara Eliya,"Sinharaja Forest Reserve, Deniyaya",Tropical,16,229000,4-star hotel,8,Matara
Lakeside,Trincomalee,"Sorabora Wewa, Mahiyanganaya",Moderate,13,105000,3-star hotel,7,Badulla
Beach,Galle,"Trincomalee Beach, Trincomalee",Warm,2,3000,3-star hotel,1,Trincomalee
Forest,Polonnaruwa,"Dunhinda Falls, Badulla",Tropical,3,15000,guest houses,6,Badulla
Lakeside,Kurunegala,"Randenigala Dam, Kandy",Moderate,9,24000,2-star hotel,3,Kandy
Beach,Polonnaruwa,"Tangalle Beach, Tangalle",Warm,23,66000,villa,2,Hambantota
Beach,Hambantota,"Hiriketiya Beach, Dickwella",Warm,13,168000,3-star hotel,9,Matara
Wildlife,Badulla,"Pigeon Island National Park, Trincomalee",Warm,14,97000,guest houses,6,Trincomalee
Beach,Kilinochchi,"Weligama Beach, Weligama",Warm,8,23000,2-star hotel,3,Matara
Mountains,Colombo,"Nine Arches Bridge, Ella",Cool,11,25000,3-star hotel,2,Badulla
Cultural,Anuradhapura,"Polonnaruwa Ruins, Polonnaruwa",Warm,14,38000,camping,6,Polonnaruwa
Cultural,Galle,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,13,173000,4-star hotel,8,Colombo
Beach,Puttalam,"Jungle Beach, Unawatuna",Warm,2,46000,5-star hotel,9,Galle
Beach,Puttalam,"Bentota Beach, Bentota",Warm,5,57000,3-star hotel,7,Kalutara
Historical,Kilinochchi,"Ambuluwawa Temple, Gampola",Moderate,15,161000,4-star hotel,6,Kandy
Forest,Ampara,"Yagirala Forest Reserve, Kalutara",Tropical,24,124000,other,9,Kalutara
Mountains,Kilinochchi,"Kalupahana, Badulla",Cool,5,46000,4-star hotel,6,Badulla
Forest,Anuradhapura,"Kanneliya Forest Reserve, Galle",Tropical,22,237000,4-star hotel,7,Galle
Cultural,Gampaha,"Yapahuwa Rock Fortress, Yapahuwa",Warm,8,10000,villa,1,Kurunegala
Mountains,Badulla,"Kirigalpotta, Nuwara Eliya",Cool,16,61000,2-star hotel,4,Nuwara Eliya
Cultural,Anuradhapura,"Kataragama Temple, Kataragama",Warm,20,72000,2-star hotel,4,Hambantota
Forest,Puttalam,"Yagirala Forest Reserve, Kalutara",Tropical,16,98000,4-star hotel,4,Kalutara
Mountains,Anuradhapura,"Ravana Falls, Ella",Cool,16,40000,other,4,Badulla
Wildlife,Polonnaruwa,"Bundala National Park, Hambantota",Warm,4,37000,2-star hotel,9,Hambantota
Beach,Kalutara,"Trincomalee Beach, Trincomalee",Warm,23,316000,villa,8,Trincomalee
Lakeside,Kurunegala,"Randenigala Dam, Kandy",Moderate,3,12000,villa,3,Kandy
Lakeside,Batticaloa,"Tissa Wewa, Tissamaharama",Moderate,23,26000,camping,3,Hambantota
Historical,Kandy,"Polonnaruwa Ruins, Polonnaruwa",Warm,2,8000,villa,3,Polonnaruwa
Lakeside,Monaragala,"Nuwara Wewa, Anuradhapura",Moderate,4,32000,cottage,8,Anuradhapura
Beach,Nuwara Eliya,"Jungle Beach, Unawatuna",Warm,14,50000,camping,7,Galle
Historical,Mullaitivu,"Temple of the Tooth, Kandy",Moderate,14,44000,camping,7,Kandy
Historical,Polonnaruwa,"Ambuluwawa Temple, Gampola",Moderate,2,4000,camping,5,Kandy
Forest,Matara,"Kithulgala Forest Reserve, Kegalle",Tropical,22,37000,2-star hotel,2,Kegalle
Beach,Kandy,"Nilaveli Beach, Trincomalee",Warm,13,19000,cottage,1,Trincomalee
Wildlife,Kandy,"Wasgomuwa National Park, Matale",Warm,18,226000,4-star hotel,7,Matale
Mountains,Hambantota,"Pidurangala, Sigiriya",Warm,8,51000,cottage,7,Matale
Historical,Hambantota,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,8,35000,other,7,Colombo
Lakeside,Nuwara Eliya,"Randenigala Dam, Kandy",Moderate,20,358000,5-star hotel,8,Kandy
Mountains,Ampara,"Horton Plains National Park, Nuwara Eliya",Cool,15,43000,camping,6,Nuwara Eliya
Cultural,Mannar,"Gangaramaya Temple, Colombo",Warm,16,53000,camping,8,Colombo
Lakeside,Colombo,"Sorabora Wewa, Mahiyanganaya",Moderate,10,23000,guest houses,3,Badulla
Wildlife,Jaffna,"Lunugamvehera National Park, Hambantota",Warm,7,20000,camping,6,Hambantota
Mountains,Badulla,"Kirigalpotta, Nuwara Eliya",Cool,16,120000,cottage,6,Nuwara Eliya
Beach,Gampaha,"Marble Beach, Trincomalee",Warm,5,38000,2-star hotel,7,Trincomalee
Cultural,Hambantota,"Munneswaram Temple, Chilaw",Warm,22,253000,5-star hotel,6,Puttalam
Mountains,Mannar,"Ravana Falls, Ella",Cool,2,17000,4-star hotel,5,Badulla
Lakeside,Badulla,"Kala Wewa, Anuradhapura",Moderate,4,3000,guest houses,1,Anuradhapura
Lakeside,Anuradhapura,"Victoria Dam, Kandy",Moderate,7,57000,cottage,7,Kandy
Mountains,Kegalle,"Devon Falls, Nuwara Eliya",Cool,21,56000,3-star hotel,2,Nuwara Eliya
Historical,Anuradhapura,"Yapahuwa Rock Fortress, Yapahuwa",Warm,9,52000,2-star hotel,7,Kurunegala
Lakeside,Kurunegala,"Nuwara Wewa, Anuradhapura",Moderate,11,68000,2-star hotel,8,Anuradhapura
Wildlife,Monaragala,"Udawalawe National Park, Ratnapura",Warm,13,31000,5-star hotel,1,Ratnapura
Cultural,Mullaitivu,"Dambulla Cave Temple, Dambulla",Warm,20,90000,guest houses,5,Matale
Forest,Jaffna,"Badulla Forest, Badulla",Tropical,15,69000,2-star hotel,6,Badulla
Forest,Ampara,"Yagirala Forest Reserve, Kalutara",Tropical,9,69000,4-star hotel,5,Kalutara
Forest,Matara,"Hiyare Reservoir, Galle",Tropical,10,42000,villa,4,Galle
Cultural,Ampara,"Isurumuniya, Anuradhapura",Warm,9,22000,camping,5,Anuradhapura
Forest,Batticaloa,"Badulla Forest, Badulla",Tropical,2,7000,other,6,Badulla
Historical,Colombo,"Anuradhapura Sacred City, Anuradhapura",Warm,19,182000,5-star hotel,4,Anuradhapura
Cultural,Polonnaruwa,"Jethawanaramaya, Anuradhapura",Warm,6,17000,camping,6,Anuradhapura
Wildlife,Anuradhapura,"Gal Oya National Park, Ampara",Warm,24,553000,5-star hotel,9,Ampara
Wildlife,Badulla,"Bundala National Park, Hambantota",Warm,11,68000,2-star hotel,6,Hambantota
Forest,Kalutara,"Meemure, Kandy",Tropical,3,4000,other,2,Kandy
Historical,Hambantota,"Munneswaram Temple, Chilaw",Warm,24,166000,guest houses,9,Puttalam
Mountains,Ratnapura,"Horton Plains National Park, Nuwara Eliya",Cool,5,36000,villa,5,Nuwara Eliya
Historical,Kandy,"Yapahuwa Rock Fortress, Yapahuwa",Warm,9,90000,4-star hotel,6,Kurunegala
Historical,Jaffna,"Polonnaruwa Ruins, Polonnaruwa",Warm,1,7000,cottage,6,Polonnaruwa
Lakeside,Colombo,"Kantale Lake, Trincomalee",Moderate,21,202000,5-star hotel,5,Trincomalee
Historical,Nuwara Eliya,"Ambuluwawa Temple, Gampola",Moderate,24,108000,5-star hotel,2,Kandy
Beach,Puttalam,"Beruwala Beach, Beruwala",Warm,17,49000,other,4,Kalutara
Historical,Matale,"Lovamahapaya, Anuradhapura",Warm,6,20000,camping,7,Anuradhapura
Wildlife,Hambantota,"Gal Oya National Park, Ampara",Warm,17,130000,villa,5,Ampara
Lakeside,Hambantota,"Randenigala Dam, Kandy",Moderate,12,86000,guest houses,8,Kandy
Historical,Polonnaruwa,"Sri Maha Bodhi, Anuradhapura",Warm,19,64000,camping,7,Anuradhapura
Beach,Colombo,"Hikkaduwa Beach, Hikkaduwa",Warm,17,73000,villa,3,Galle
Forest,Anuradhapura,"Yagirala Forest Reserve, Kalutara",Tropical,9,63000,cottage,7,Kalutara
Wildlife,Trincomalee,"Hurulu Eco Park, Polonnaruwa",Warm,5,58000,3-star hotel,8,Polonnaruwa
Mountains,Mannar,"Devon Falls, Nuwara Eliya",Cool,7,28000,villa,3,Nuwara Eliya
Wildlife,Matale,"Yala National Park, Hambantota",Warm,17,139000,guest houses,8,Hambantota
Wildlife,Gampaha,"Bundala National Park, Hambantota",Warm,17,44000,5-star hotel,1,Hambantota
Beach,Polonnaruwa,"Beruwala Beach, Beruwala",Warm,15,86000,4-star hotel,3,Kalutara
Lakeside,Batticaloa,"Koggala Lake, Koggala",Moderate,4,3000,2-star hotel,1,Galle
Historical,Trincomalee,"Temple of the Tooth, Kandy",Moderate,13,35000,3-star hotel,2,Kandy
Beach,Ratnapura,"Hiriketiya Beach, Dickwella",Warm,5,36000,5-star hotel,3,Matara
Beach,Ratnapura,"Beruwala Beach, Beruwala",Warm,21,183000,cottage,7,Kalutara
Mountains,Ampara,"Little Adam's Peak, Ella",Cool,5,14000,camping,8,Badulla
Historical,Anuradhapura,"Dambulla Cave Temple, Dambulla",Warm,17,30000,guest houses,2,Matale
Lakeside,Gampaha,"Parakrama Samudraya, Polonnaruwa",Moderate,23,335000,5-star hotel,7,Polonnaruwa
Beach,Vavuniya,"Hikkaduwa Beach, Hikkaduwa",Warm,8,11000,villa,1,Galle
Mountains,Matara,"Ravana Falls, Ella",Cool,5,33000,2-star hotel,8,Badulla
Cultural,Matara,"Munneswaram Temple, Chilaw",Warm,5,29000,5-star hotel,3,Puttalam
Forest,Vavuniya,"Meemure, Kandy",Tropical,19,158000,4-star hotel,5,Kandy
Lakeside,Mullaitivu,"Madu River, Balapitiya",Moderate,20,77000,camping,8,Galle
Lakeside,Matale,"Madu River, Balapitiya",Moderate,15,86000,3-star hotel,4,Galle
Historical,Kalutara,"Anuradhapura Sacred City, Anuradhapura",Warm,3,7000,5-star hotel,1,Anuradhapura
Mountains,Gampaha,"Knuckles Mountain Range, Matale",Cool,1,4000,other,7,Matale
Lakeside,Kandy,"Madu River, Balapitiya",Moderate,20,288000,5-star hotel,6,Galle
Forest,Matale,"Sinharaja Forest Reserve, Deniyaya",Tropical,8,5000,other,1,Matara
Historical,Puttalam,"Abhayagiri Dagaba, Anuradhapura",Warm,22,127000,4-star hotel,3,Anuradhapura
Historical,Hambantota,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,1,10000,4-star hotel,6,Colombo
Forest,Ratnapura,"Hiyare Reservoir, Galle",Tropical,14,118000,3-star hotel,8,Galle
Wildlife,Ampara,"Wasgomuwa National Park, Matale",Warm,15,20000,other,2,Matale
